Product Name,Brand Name,Price (Ksh),Discount (%),Total Number of Reviews,Product Rating (out of 5)
Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,,"KSh 1,295",,,
Garnier Even & Matte Vitamin C Cleansing Foam,,KSh 815,,,
"Power King Extension Cable With 6 AC Power Outlets, 13A, And 2 M Long Cable",,KSh 450,"<div class=""bdg _dsct"">44%</div>",,
Maybelline Volume Express Colossal 100% Black Mascara,,KSh 949,"<div class=""bdg _dsct"">24%</div>",,
Garnier Even & Matte Vitamin C Micellar Cleansing Water - 400ml,,KSh 745,,,
Maybelline Lasting Fix Setting Spray,,"KSh 1,599","<div class=""bdg _dsct"">24%</div>",,
Qwen Wireless Earbuds Fingerprint Touch Headset Bluetooth Earphones With Charging Power Bank,,KSh 600,"<div class=""bdg _dsct"">40%</div>",,
Garnier Even & Matte Dark Spot Corrector,,KSh 849,"<div class=""bdg _dsct"">19%</div>",,
Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,,KSh 939,"<div class=""bdg _dsct"">22%</div>",,
Garnier Even & Matte Vitamin C Booster Serum 15ml,,KSh 850,,,
Maybelline Fit Me Mattifying Primer Matte And Poreless,,"KSh 1,400",,,
Qwen 64GB Memory Card C10 High Speed,,KSh 580,"<div class=""bdg _dsct"">28%</div>",,
AILYONS FK-0310 Stainless Steel 2.2L Electric Water Kettle-Black,,KSh 996,"<div class=""bdg _dsct"">38%</div>",,
Oraimo FreePods Lite ENC 40-hour Playtime Havybass True Wireless Earbuds With APP Control-Black,,"KSh 1,999","<div class=""bdg _dsct"">33%</div>",,
Garnier AHA+BHA Charcoal Serum + Pure Active 3-in-1 Charcoal Mask,,"KSh 2,079","<div class=""bdg _dsct"">32%</div>",,
